ID,Longitude,Latitude,Altitude,North,East,Height,Yaw,Roll,Pitch
288386,118.868253,32.017247,9.82,-1712899.287,3694771.922,982,0.93143,0.016616,-0.031172
288387,118.868252,32.017248,9.82,-1712890.381,3694762.499,982,0.931011,0.016528,-0.031538
288388,118.868251,32.017249,9.82,-1712882.589,3694752.134,982,0.930592,0.016319,-0.031887
288389,118.86825,32.01725,9.82,-1712874.796,3694741.769,982,0.930138,0.016197,-0.032236
288390,118.868249,32.01725,9.82,-1712867.004,3694732.346,982,0.92965,0.015952,-0.032446
288391,118.868248,32.017251,9.82,-1712858.098,3694721.981,982,0.929196,0.015865,-0.032812
288392,118.868247,32.017252,9.82,-1712850.306,3694711.616,982,0.928725,0.015882,-0.033249
288393,118.868246,32.017252,9.82,-1712842.514,3694702.193,982,0.928253,0.01583,-0.033772
288394,118.868245,32.017253,9.82,-1712834.721,3694691.828,982,0.92773,0.015865,-0.034331
288395,118.868244,32.017254,9.82,-1712825.816,3694681.463,982,0.927189,0.0159,-0.034767
288396,118.868243,32.017255,9.82,-1712818.023,3694672.041,982,0.926648,0.01604,-0.035378
288397,118.868242,32.017255,9.81,-1712810.231,3694662.618,981,0.926054,0.016074,-0.035814
288398,118.868241,32.017256,9.8,-1712802.439,3694653.195,980,0.925478,0.016197,-0.036006
288399,118.86824,32.017257,9.8,-1712793.533,3694643.772,980,0.924867,0.016354,-0.036303
288400,118.868239,32.017258,9.79,-1712785.741,3694634.35,979,0.924222,0.016511,-0.036425
288401,118.868238,32.017258,9.78,-1712777.948,3694625.869,978,0.923594,0.016563,-0.03646
288402,118.868237,32.017259,9.78,-1712769.043,3694616.446,978,0.92293,0.016738,-0.03639
288403,118.868236,32.01726,9.77,-1712761.25,3694607.023,977,0.922232,0.016912,-0.036128
288404,118.868236,32.01726,9.77,-1712761.25,3694607.023,977,0.922232,0.016912,-0.036128
288405,118.868235,32.01726,9.76,-1712753.458,3694597.601,976,0.921481,0.017087,-0.035797
288406,118.868234,32.017261,9.75,-1712744.553,3694588.178,975,0.920731,0.017122,-0.03536
288407,118.868233,32.017262,9.74,-1712736.76,3694579.697,974,0.919946,0.017,-0.034767
288408,118.868232,32.017263,9.74,-1712728.968,3694570.275,974,0.919178,0.01686,-0.034208
288409,118.868231,32.017263,9.73,-1712720.062,3694560.852,973,0.918357,0.01686,-0.033563
288410,118.86823,32.017264,9.72,-1712712.27,3694551.429,972,0.917467,0.016685,-0.03283
288411,118.868229,32.017265,9.72,-1712704.478,3694542.006,972,0.91656,0.016424,-0.032132
288412,118.868228,32.017266,9.72,-1712696.685,3694532.584,972,0.915617,0.016074,-0.031538
288413,118.868227,32.017266,9.72,-1712688.893,3694522.219,972,0.914675,0.01583,-0.030997
